Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
9/8/1997,Barnsley,West Ham,1,2,A
9/8/1997,Blackburn,Derby,1,0,H
9/8/1997,Coventry,Chelsea,3,2,H
9/8/1997,Everton,Crystal Palace,1,2,A
9/8/1997,Leeds,Arsenal,1,1,D
9/8/1997,Leicester,Aston Villa,1,0,H
9/8/1997,Newcastle,Sheffield Weds,2,1,H
9/8/1997,Southampton,Bolton,0,1,A
9/8/1997,Wimbledon,Liverpool,1,1,D
10/8/1997,Tottenham,Man United,0,2,A
11/8/1997,Arsenal,Coventry,2,0,H
12/8/1997,Crystal Palace,Barnsley,0,1,A
13/08/97,Aston Villa,Blackburn,0,4,A
13/08/97,Liverpool,Leicester,1,2,A
13/08/97,Man United,Southampton,1,0,H
13/08/97,Sheffield Weds,Leeds,1,3,A
13/08/97,West Ham,Tottenham,2,1,H
23/08/97,Blackburn,Liverpool,1,1,D
23/08/97,Coventry,Bolton,2,2,D
23/08/97,Everton,West Ham,2,1,H
23/08/97,Leeds,Crystal Palace,0,2,A
23/08/97,Leicester,Man United,0,0,D
23/08/97,Newcastle,Aston Villa,1,0,H
23/08/97,Southampton,Arsenal,1,3,A
23/08/97,Tottenham,Derby,1,0,H
23/08/97,Wimbledon,Sheffield Weds,1,1,D
24/08/97,Barnsley,Chelsea,0,6,A
25/08/97,Blackburn,Sheffield Weds,7,2,H
26/08/97,Leeds,Liverpool,0,2,A
27/08/97,Barnsley,Bolton,2,1,H
27/08/97,Coventry,West Ham,1,1,D
27/08/97,Everton,Man United,0,2,A
27/08/97,Leicester,Arsenal,3,3,D
27/08/97,Southampton,Crystal Palace,1,0,H
27/08/97,Tottenham,Aston Villa,3,2,H
27/08/97,Wimbledon,Chelsea,0,2,A
30/08/97,Arsenal,Tottenham,0,0,D
30/08/97,Aston Villa,Leeds,1,0,H
30/08/97,Chelsea,Southampton,4,2,H
30/08/97,Crystal Palace,Blackburn,1,2,A
30/08/97,Derby,Barnsley,1,0,H
30/08/97,Man United,Coventry,3,0,H
30/08/97,Sheffield Weds,Leicester,1,0,H
30/08/97,West Ham,Wimbledon,3,1,H
1/9/1997,Bolton,Everton,0,0,D
13/09/97,Arsenal,Bolton,4,1,H
13/09/97,Barnsley,Aston Villa,0,3,A
13/09/97,Coventry,Southampton,1,0,H
13/09/97,Crystal Palace,Chelsea,0,3,A
13/09/97,Derby,Everton,3,1,H
13/09/97,Leicester,Tottenham,3,0,H
13/09/97,Liverpool,Sheffield Weds,2,1,H
13/09/97,Man United,West Ham,2,1,H
13/09/97,Newcastle,Wimbledon,1,3,A
14/09/97,Blackburn,Leeds,3,4,A
20/09/97,Aston Villa,Derby,2,1,H
20/09/97,Bolton,Man United,0,0,D
20/09/97,Everton,Barnsley,4,2,H
20/09/97,Leeds,Leicester,0,1,A
20/09/97,Sheffield Weds,Coventry,0,0,D
20/09/97,Southampton,Liverpool,1,1,D
20/09/97,Tottenham,Blackburn,0,0,D
20/09/97,West Ham,Newcastle,0,1,A
20/09/97,Wimbledon,Crystal Palace,0,1,A
21/09/97,Chelsea,Arsenal,2,3,A
22/09/97,Liverpool,Aston Villa,3,0,H
23/09/97,Bolton,Tottenham,1,1,D
23/09/97,Wimbledon,Barnsley,4,1,H
24/09/97,Arsenal,West Ham,4,0,H
24/09/97,Coventry,Crystal Palace,1,1,D
24/09/97,Leicester,Blackburn,1,1,D
24/09/97,Man United,Chelsea,2,2,D
24/09/97,Newcastle,Everton,1,0,H
24/09/97,Sheffield Weds,Derby,2,5,A
24/09/97,Southampton,Leeds,0,2,A
27/09/97,Aston Villa,Sheffield Weds,2,2,D
27/09/97,Barnsley,Leicester,0,2,A
27/09/97,Chelsea,Newcastle,1,0,H
27/09/97,Crystal Palace,Bolton,2,2,D
27/09/97,Derby,Southampton,4,0,H
27/09/97,Everton,Arsenal,2,2,D
27/09/97,Leeds,Man United,1,0,H
27/09/97,Tottenham,Wimbledon,0,0,D
27/09/97,West Ham,Liverpool,2,1,H
28/09/97,Blackburn,Coventry,0,0,D
4/10/1997,Arsenal,Barnsley,5,0,H
4/10/1997,Bolton,Aston Villa,0,1,A
4/10/1997,Coventry,Leeds,0,0,D
4/10/1997,Man United,Crystal Palace,2,0,H
4/10/1997,Newcastle,Tottenham,1,0,H
4/10/1997,Sheffield Weds,Everton,3,1,H
4/10/1997,Southampton,West Ham,3,0,H
4/10/1997,Wimbledon,Blackburn,0,1,A
5/10/1997,Liverpool,Chelsea,4,2,H
6/10/1997,Leicester,Derby,1,2,A
18/10/97,Aston Villa,Wimbledon,1,2,A
18/10/97,Blackburn,Southampton,1,0,H
18/10/97,Chelsea,Leicester,1,0,H
18/10/97,Crystal Palace,Arsenal,0,0,D
18/10/97,Derby,Man United,2,2,D
18/10/97,Everton,Liverpool,2,0,H
18/10/97,Leeds,Newcastle,4,1,H
18/10/97,West Ham,Bolton,3,0,H
19/10/97,Tottenham,Sheffield Weds,3,2,H
20/10/97,Barnsley,Coventry,2,0,H
22/10/97,Derby,Wimbledon,1,1,D
25/10/97,Coventry,Everton,0,0,D
25/10/97,Liverpool,Derby,4,0,H
25/10/97,Man United,Barnsley,7,0,H
25/10/97,Newcastle,Blackburn,1,1,D
25/10/97,Sheffield Weds,Crystal Palace,1,3,A
25/10/97,Southampton,Tottenham,3,2,H
25/10/97,Wimbledon,Leeds,1,0,H
26/10/97,Arsenal,Aston Villa,0,0,D
26/10/97,Bolton,Chelsea,1,0,H
27/10/97,Leicester,West Ham,2,1,H
